uid,Map_changes,Reverted_changes,restored_map_edits,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Deleted,Median_length,Registered_timeStamp,average_year,efficient_year,acc,class,weekday,weekend
10817938,3950,13,7,3070,234,49,401,187,7,0,7,1582502400,2,0.25,0.919843223,1,26,0
12724039,2648,0,0,1994,154,42,263,185,6,0,10,1614038400,2,0.333333333,0.511300791,0,26,0
12745204,2463,0,0,1947,21,6,419,68,2,0,4,1614297600,1.333333333,0.333333333,0.825790056,1,13,13
294859,689,1,0,344,187,17,80,49,2,0,43,1275177600,0.571428571,0.214285714,0.897934952,1,21,5
1967313,893,0,0,231,373,142,62,46,29,1,0,1393891200,0.7,0.4,0.932912537,1,7,19
2872293,132,1,0,50,33,12,7,27,3,0,15,1430265600,1.333333333,0.222222222,0.87462795,1,20,6
5310225,1848,0,2,1419,63,71,176,107,12,0,11.5,1486944000,1.571428571,0.285714286,0.887068769,1,21,5
17544203,1675,0,598,574,610,160,94,213,19,0,17,1667174400,9,1,0.967857602,2,20,5
17912978,134,0,0,0,66,0,0,68,0,0,33,1670371200,1,1,0.879669333,1,25,0
346132,1186,2,0,300,470,117,56,199,18,0,4,1284336000,0.538461538,0.153846154,0.919918712,1,21,4
1916791,349,0,0,211,20,7,56,52,2,0,25,1391385600,1,0.2,0.941591116,1,9,16
1969535,19192,1,0,16331,375,193,1880,390,19,0,22,1393977600,1.2,0.2,0.899635636,1,16,9
2021103,675,0,0,487,46,54,61,14,13,0,19,1396828800,0.6,0.2,0.944126399,1,15,10
3722953,605,0,0,448,23,9,92,30,3,0,5,1458172800,0.75,0.25,0.878239156,1,22,3
5100441,388,0,0,246,75,9,43,13,2,0,23,1483920000,1.714285714,0.571428571,0.8427693,1,18,7
14406085,3121,6,0,1558,1099,113,244,87,19,1,85,1635984000,3.5,0.5,0.889988517,1,15,9
15568416,13868,0,0,10545,1013,725,1263,170,135,0,12,1649808000,6.5,1,0.903359484,2,14,10
20073212,2541,0,0,1824,126,158,224,183,24,0,4,1691884800,11,1,0.875786587,1,18,6
1917502,243,0,0,155,29,6,28,23,2,0,15,1391472000,0.1,0.1,0.935761945,1,24,0
1928564,40,0,0,18,10,0,0,12,0,0,20,1391990400,0.7,0.2,0.920989194,1,20,4
2992037,525,13,0,352,70,13,61,24,3,0,34.5,1434412800,1.111111111,0.333333333,0.857705012,1,24,0
3018999,169,0,0,69,26,9,22,41,0,0,20,1435363200,1.222222222,0.444444444,0.938566717,1,3,21
3198900,1163,22,0,424,216,128,102,270,23,0,45,1440892800,0.875,0.5,0.93726758,1,15,9
5459943,1061,0,0,721,70,24,152,85,8,0,8,1489104000,0.571428571,0.142857143,0.920011013,1,24,0
14305654,637,0,0,416,127,19,57,14,4,0,14,1634428800,8,1,0.85655642,1,17,6
14648787,2042,1,0,1083,427,62,130,327,13,0,14,1639612800,5.5,1,0.935846933,1,22,1
18620818,204,0,0,0,51,0,4,149,0,0,26,1677974400,1,1,0.709228548,1,0,23
19062412,589,0,0,285,7,6,67,221,0,0,13,1682380800,7,1,0.784850048,1,23,0
6860357,73,0,0,49,2,1,9,12,0,0,4,1508976000,0.5,0.166666667,0.92234348,1,23,0
6933978,1908,0,0,1361,22,20,398,106,1,0,74,1509926400,0.833333333,0.333333333,0.935550278,1,13,10
7301919,376,0,0,293,43,10,14,13,3,0,6,1513728000,1.166666667,0.5,0.962486958,2,14,9
9387534,1670,0,0,1501,21,5,91,46,2,0,6,1548374400,1,0.4,0.91989515,1,8,15
9543382,3217,0,0,2480,63,240,339,73,22,0,19,1552953600,1.4,0.2,0.911835679,1,15,8
10932506,2701,3,83,1668,482,96,153,237,15,0,10,1585008000,1.5,0.5,0.675736159,0,16,7
700748,145,0,0,101,10,7,18,8,1,0,12,1339372800,0.083333333,0.083333333,0.913619059,1,23,0
2820307,247,0,0,116,43,33,11,13,2,0,27,1428710400,0.222222222,0.111111111,0.918786863,1,0,23
3904945,567,1,0,327,13,72,108,40,7,0,8,1462060800,0.5,0.25,0.800534707,1,10,13
4322743,90,0,0,80,9,0,0,1,0,0,21,1469491200,2.375,0.75,0.906174354,1,14,9
5299716,76,0,0,11,4,0,3,58,0,0,22,1486771200,0.571428571,0.428571429,0.921193159,1,20,3
15856033,999,0,0,517,57,45,135,199,11,0,7.5,1651795200,4,0.5,0.777607761,1,21,1
17476981,2987,0,0,2556,31,5,372,22,1,0,6,1666569600,3,1,0.867304251,1,22,0
7078741,213,0,0,168,4,6,22,12,1,0,8,1511740800,0.666666667,0.333333333,0.823259213,1,6,16
8815696,1196,0,1,926,1,107,116,28,17,0,13.5,1536796800,1,0.4,0.844184884,1,16,6
422716,363,0,0,185,44,3,12,117,2,0,12,1300233600,0.461538462,0.307692308,0.946767292,1,22,0
549270,4264,4,0,2768,625,189,453,189,34,0,33,1320364800,0.333333333,0.083333333,0.914732853,1,16,6
2249643,712,0,0,524,34,11,110,32,1,0,3,1407628800,1,0.333333333,0.893592255,1,12,10
3834873,2546,1,0,1597,157,235,329,172,49,0,6,1460764800,1.125,0.5,0.89227093,1,10,12
13787449,608,0,0,441,4,5,85,70,1,0,20,1626739200,1.666666667,0.333333333,0.945964587,1,21,0
6272023,3186,0,0,2585,5,22,535,37,2,0,17,1499299200,0.571428571,0.285714286,0.874921601,1,21,0
