uid,mapping_days,Map_changes,Reverted_changes,restored_changesets,restored_map_edits,revert_contributors,Discussed_changesets,dis_responses,com_changesets,num_comments,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Created,Relations_Modified,Relations_Deleted,Overall,comments,Unique_comments,Median_length,Registered_timeStamp,Sun,Mon,Tue,Wed,Thu,Fri,Sat,years_passed,average_year,efficient_year,iD,JOSM,JOSM (Reverter),Potlatch,Merkaartor,Vespucci,Go Map!!,StreetComplete,OsmAnd,Maps.Me,Level0,Every Door,RapiD,Pic4Review,Rosemary,Mapzen,unKnowEditors,acc
260103,107,16792,1,0,0,0,1,0,0,0,683,1926,372,170,13405,69,0,11,0,1442,1436,236,26.0,1270598400,140,211,258,251,237,142,203,14,7.642857142857143,0.2857142857142857,5.825242718446602,2.4271844660194173,0.0,0.901525658807212,0.0,8.945908460471568,0.0,81.9001386962552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875413695137373
267767,5,200,0,0,0,0,0,0,0,0,66,82,5,7,33,0,0,0,0,9,5,6,17.0,1271376000,1,4,1,0,0,3,0,14,0.3571428571428571,0.2142857142857142,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9377696301483284
286563,1307,88813,232,101,322,52,81,66,176,267,35720,13927,3828,7133,19364,750,367,7140,139,9449,9447,7275,43.0,1273536000,1783,1310,1169,1224,1066,1267,1630,14,93.35714285714286,0.7142857142857143,80.37887607154197,8.9956609164991,0.0,0.0211662609799978,0.0,0.0317493914699968,0.0,2.1801248809397817,0.0,0.0,0.0,0.0105831304899989,0.0,0.0,0.0,0.0,8.381839348079161,0.7828432790473212
298209,656,34748,16,22,23,17,11,8,8,11,7946,5833,709,2336,17220,150,42,494,18,4236,4232,693,22.0,1275523200,849,534,431,565,558,493,806,14,46.85714285714285,1.0,6.25590179414542,2.6203966005665724,0.0,0.0944287063267233,0.0,0.3777148253068933,0.0,79.83947119924457,8.545797922568461,0.0,0.0,0.0,0.8734655335221907,0.0,0.0,0.0,1.392823418319169,0.8720942014399118
298472,1,208,0,0,0,0,0,0,0,0,152,1,0,42,13,0,0,0,0,1,0,0,0.0,1275609600,0,0,0,0,0,1,0,14,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9196451033352288
323389,950,596708,1130,328,8442,131,14,7,10,14,263305,92720,146275,21100,63502,5387,583,3359,176,2034,2034,1166,18.0,1279929600,595,214,161,155,150,204,555,14,67.85714285714286,1.0,0.0,97.39429695181909,1.5732546705998034,0.8357915437561455,0.0,0.1966568338249754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968855633957439
323720,101,34051,476,28,63,19,20,0,0,0,5879,5249,5826,1931,13109,985,77,943,35,3343,2948,506,16.0,1280016000,480,569,398,647,325,509,415,14,7.214285714285714,1.0,47.45661280670257,27.10951526032316,0.0,0.3291442250149611,0.8677438659485339,7.301017354877319,0.0,16.906044284859366,0.0299222022740873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9732507225187172
327477,2604,8736823,3924,2763,19395,627,69,52,75,98,4288900,1622120,1192539,689822,759412,168961,2080,5780,732,10798,10794,1895,10.0,1280707200,1638,1839,1666,1337,1432,1565,1321,14,186.0,1.0,1.3150583441378034,93.14687905167624,0.1111316910538988,5.380626041859603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463048712724578,0.8919185107915013
334129,1802,185631,33,24,40,24,16,3,21,25,100968,31655,2998,18192,30256,299,170,802,17,12838,12829,4537,21.0,1281916800,2268,1623,1777,1624,1547,1601,2398,13,138.6153846153846,0.9230769230769232,42.03146907618009,0.1557875058420314,0.0233681258763047,0.0077893752921015,0.0,0.6543075245365322,0.0,42.42872721607727,9.425144103442904,0.0,0.0389468764605078,5.226670821000156,0.0,0.0,0.0,0.0,0.0077893752921015,0.8781773380473314
340741,1708,759494,484,798,1729,320,45,23,136,202,365378,82016,28167,79090,189508,4449,3090,7443,348,9659,9658,3893,31.0,1283212800,1318,1339,1272,1557,1418,1310,1445,13,131.3846153846154,1.0,2.7644980253585536,41.78964872167949,0.0831427977551444,0.2494283932654334,0.0,55.06131781334442,0.0,0.0311785491581791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207856994387861,0.9454246070737826
